"Workspace","Channel","Id","Sender","text","time","mention"
"hyperledger","iroha","U1YC7CQ4E","branciard","Ok i see why i have the same peer signature twice. In processTransaction method in sumeragi.cpp,  ""addSignature"" is called two times, ligne 279 then ligne 354. I see that there is still WIP to implement the BChain algorithm ?","2017-01-01 19:27:03",""
"hyperledger","iroha","U1YC7CQ4E","branciard","<@U1YC7CQ4E|branciard> has joined the channel","2016-12-26 22:26:32",", U1YC7CQ4E|branciard>"
"hyperledger","iroha","U1YC7CQ4E","branciard","Hi, i use docker image hyperledger/iroha-build and then start 4 peers with the script run-iroha-build.sh. Then i invoke /account/register (with curl on one peer) to create accounts. It works fine :slightly_smiling_face:. i see propagation on the 3 others peers in logs and    a get on /account?uuid= retrieve the account. After that, i test to stop 2 peers and  if i have understand the 2f+1 algorithm, i was expecting that it will not succeed to achieved the consensus and so fail to register account. But it still works ...I miss the point. Another question, i only see /asset/operation on server side (http_server_with_cappuccino.cpp) but /asset/create route existe in iroha-android project. It is because it is still in development phase for the moment? Thanks you. PS : IROHA architecture looks simple with a nice signed transactions events mechanism. congrats.","2016-12-26 23:17:42",""
"hyperledger","iroha","U2CNRE3SR","bis","<@U2CNRE3SR|bis> has joined the channel","2017-01-06 01:05:59",", U2CNRE3SR|bis>"
"hyperledger","iroha","U3LH9V41L","babedev","<@U3LH9V41L|babedev> has joined the channel","2017-01-11 15:00:48",", U3LH9V41L|babedev>"
"hyperledger","iroha","U1W0AJJSV","damien","<@U1W0AJJSV|damien> has joined the channel","2017-01-18 17:04:43",", U1W0AJJSV|damien>"
"hyperledger","iroha","U1U7BR1KP","ray","<@U1U7BR1KP|ray> has joined the channel","2017-01-19 02:14:03",", U1U7BR1KP|ray>"
"hyperledger","iroha","U303C95G9","donaldliu","<@U303C95G9|donaldliu> has joined the channel","2017-01-25 03:13:23",", U303C95G9|donaldliu>"
"hyperledger","iroha","U3B52L21K","ty531","<@U3B52L21K|ty531> has joined the channel","2017-01-27 01:18:48",", U3B52L21K|ty531>"
"hyperledger","iroha","U0N4D2T61","bfuentes","<@U0N4D2T61|bfuentes> has joined the channel","2017-01-31 17:18:25",", U0N4D2T61|bfuentes>"
