Sender,channel,repository,url_html
dbhanushali,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54129
fabianofranz,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/49460
cprenzberg,minikube,heapster,https://github.com/kubernetes/heapster/issues/1908
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56686
vinhags,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/53566
tianshapjq,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/16435
roffe,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/52973
stealthybox,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57184
rsquared,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/603
theobolo,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/23896
chen-li,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/43788
justinsb,minikube,kops,https://github.com/kubernetes/kops/issues/3964
shyamjvs,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/47899
lazypower,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/44418
vikasc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57273
jhorwit2,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/49817
mdietze,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/546
bentheelder,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56121
roberthbailey,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/51862
spiffxp,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56241
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55978
bradgeesaman,minikube,kops,https://github.com/kubernetes/kops/issues/3910
spiffxp,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/34255
spiffxp,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56416
quinton_hoole,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/50734
frodenas,minikube,kubectl,https://github.com/kubernetes/kubectl/issues/101
nicolaiskogheim,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/43805
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56357
b0rk,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/49314
nikhita,minikube,repo-infra,https://github.com/kubernetes/repo-infra/issues/37
cheng.wang1986,minikube,heapster,https://github.com/kubernetes/heapster/issues/1356
mhausenblas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/44407
ichekrygin,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/15528
suyogbarve,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/44992
jhorwit2,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54070
fabrizio.pandini,minikube,release,https://github.com/kubernetes/release/issues/479
shyamjvs,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/47865
lctung,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/40214
mahdix,minikube,kubectl,https://github.com/kubernetes/kubectl/issues/73
anupn,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/52266
soltysh,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/47180
tcharding,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/38761
sdlarsen,minikube,kops,https://github.com/kubernetes/kops/issues/3605
