Sender,channel,repository,url_html,is merged
chrislovecnm,minikube,kops,https://github.com/kubernetes/kops/pull/4168,True
derekwaynecarr,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55338,True
jdumars,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/66,True
steveperry-53,minikube,website,https://github.com/kubernetes/website/pull/6366,True
nrock,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/46580,True
jvallejo,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/50394,False
kruczjak,minikube,kops,https://github.com/kubernetes/kops/pull/3944,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54019,True
ivangelarry,minikube,website,https://github.com/kubernetes/website/pull/6588,True
sttts,minikube,k8s.io,https://github.com/kubernetes/k8s.io/pull/94,True
rjmorse,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55496,True
dineshgovindasamy,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51064,True
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56679,True
vikasc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55692,True
erwbgy,minikube,website,https://github.com/kubernetes/website/pull/6598,True
topol,minikube,website,https://github.com/kubernetes/website/pull/6576,True
steveperry-53,minikube,website,https://github.com/kubernetes/website/pull/6239,False
praseodym,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54016,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56284,False
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/pull/728,True
spiffxp,minikube,contrib,https://github.com/kubernetes/contrib/pull/2701,False
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/pull/727,False
qiming,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56398,False
hari.sanker,minikube,dashboard,https://github.com/kubernetes/dashboard/pull/2249,False
obristow,minikube,kompose,https://github.com/kubernetes/kompose/pull/896,True
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57472,True
spzala,minikube,website,https://github.com/kubernetes/website/pull/6573,True
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57755,True
fabianofranz,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51137,True
jaredb,minikube,website,https://github.com/kubernetes/website/pull/6579,True
sttts,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51867,True
mengqiy,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52382,True
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/33549,False
perotinus,minikube,cluster-registry,https://github.com/kubernetes/cluster-registry/pull/144,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52612,False
ixdy,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/5865,True
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57075,True
pwittrock,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52199,False
frodenas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54411,True
ianlewis,minikube,dashboard,https://github.com/kubernetes/dashboard/pull/1539,True
anfernee,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53759,True
fabrizio.pandini,minikube,website,https://github.com/kubernetes/website/pull/6103,True
jdumars,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/59,True
rrm,minikube,website,https://github.com/kubernetes/website/pull/6589,True
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56460,True
surajnarwade,minikube,kompose,https://github.com/kubernetes/kompose/pull/868,True
spiffxp,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/48,True
deads2k,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57513,True
frobware,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53743,True
cblecker,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/6003,True
ravig,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/48082,True
maciekpytel,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55413,True
enisoc,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/49,True
mspreitz,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/45472,True
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/pull/759,True
jdumars,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/55,False
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54623,True
marun,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54336,True
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/50719,True
bentheelder,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/6010,True
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56576,True
jorge,minikube,community,https://github.com/kubernetes/community/pull/1398,True
jvallejo,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/50113,False
spiffxp,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/6167,True
fabrizio.pandini,minikube,website,https://github.com/kubernetes/website/pull/6103,True
rahul890,minikube,dashboard,https://github.com/kubernetes/dashboard/pull/2632,True
leosunmo,minikube,dashboard,https://github.com/kubernetes/dashboard/pull/1539,True
vikasc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51938,False
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56358,True
shyamjvs,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/48085,True
vincemd,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/30577,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55382,True
jchaloup,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56250,True
marun,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51026,False
mbohlool,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57767,True
devlapse,minikube,kube-deploy,https://github.com/kubernetes/kube-deploy/pull/460,False
fejta,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/6141,True
yifan-gu,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/33965,True
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/pull/763,False
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56858,True
dbhanushali,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/44344,True
perotinus,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/6047,True
tomciaaa,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51063,True
luxas,minikube,community,https://github.com/kubernetes/community/pull/911,True
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57472,True
idvoretskyi,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/46,True
aguilbau,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/47181,True
spiffxp,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/52,True
